0x676f64/Cicada-3301	iddqd/liber-primus__index/liber-primus__index.txt
0x676f64/Cicada-3301	iddqd/liber-primus__transcription--master/liber-primus__transcription--master.txt
0x676f64/Cicada-3301	iddqd/liber-primus__transcription--sentences/liber-primus__transcription--sentences.txt
0x676f64/Cicada-3301	iddqd/liber-primus__translation/liber-primus__known-plain-text--headlines.txt
0x676f64/Cicada-3301	iddqd/liber-primus__translation/liber-primus__known-plain-text.txt
Be5haram/CICADA2K16	RuneSolver.py
Dukotah/cicada3301	liber-primus/analysis/foundation/consensus_runes.txt
Dukotah/cicada3301	liber-primus/analysis/foundation/trans_cicadasolvers.txt
Dukotah/cicada3301	liber-primus/analysis/foundation/trans_krisyotam.txt
Dukotah/cicada3301	liber-primus/analysis/foundation/trans_r4nd0mD3v3l0p3r.txt
Dukotah/cicada3301	liber-primus/analysis/foundation/trans_relikd.txt
Dukotah/cicada3301	liber-primus/analysis/foundation/trans_scream314.txt
Dukotah/cicada3301	liber-primus/analysis/foundation/trans_uncovering_wiki.txt
Dukotah/cicada3301	liber-primus/analysis/round10/L6-archives/discord_long_novel.txt
Dukotah/cicada3301	liber-primus/analysis/stones/classifier_transcription.txt
Dukotah/cicada3301	liber-primus/analysis/structure_analysis.py
Dukotah/cicada3301	liber-primus/analysis/vision/DIFF-REPORT.md
Dukotah/cicada3301	liber-primus/analysis/vision/canonical_pages.json
Dukotah/cicada3301	liber-primus/data/krisyotam_runes.txt
Dukotah/cicada3301	liber-primus/data/scream314_lp.md
Dukotah/cicada3301	liber-primus/dataset/liber_primus.json
IamLupo/CppCicada	src/pages.h
RoseBlume/cicada	lists/cicada.txt
Taiiwo/TaiiwoBot	lib/cicada/cicada/liber_primus.txt
Taiiwo/cicada	cicada/liber_primus.txt
ale64bit/cicada3301	data/data.go
cijhho123/cicada3301	2014/Liber Primus/runes in text format.txt
cijhho123/cicada3301	2014/additional docs/scripts/runescript.py.py
cijhho123/cicada3301	2016/2016/extra stuff/RuneSolver.py.txt
cijhho123/cicada3301	EXTRA WIKI PAGES/Liber Primus Ideas and Suggestions/Liber primus in gematria values by mortlach.txt
cijhho123/cicada3301	EXTRA WIKI PAGES/Liber Primus Ideas and Suggestions/RuneSolver.py
cmbsolver/cmbcidada3301	LiberPrimusUi/input/text/LP-Combined-Sections/0-2-sign-post-cross.txt
cmbsolver/cmbcidada3301	LiberPrimusUi/input/text/LP-Full-NLB/0.txt
cmbsolver/cmbcidada3301	LiberPrimusUi/input/text/LP-Full/0.txt
